06/04/07;"0:32:34";"0:13:43";"0:14:39";"0:8:16";"0:0:14"
01/01/10;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
11/02/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
22/03/12;"0:33:6";"0:37:5";"1:6:9";"0:1:41";"0:0:0"
24/03/12;"0:12:37";"0:32:10";"0:10:17";"0:0:0";"0:0:0"
27/03/12;"0:4:28";"0:5:19";"0:13:29";"0:2:57";"0:0:2"
27/03/12;"0:0:0";"0:10:52";"0:1:43";"0:0:34";"0:0:0"
28/03/12;"0:4:46";"0:26:6";"0:19:42";"0:1:45";"0:0:0"
01/04/12;"0:6:0";"0:44:35";"3:18:21";"0:24:19";"0:0:0"
05/04/12;"0:19:14";"0:25:55";"0:17:32";"0:1:23";"0:0:0"
26/04/12;"0:19:0";"0:27:26";"0:7:20";"0:0:16";"0:0:0"
28/04/12;"2:4:40";"2:9:41";"2:29:55";"0:12:53";"0:0:0"
29/04/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/04/12;"0:37:54";"0:2:5";"0:1:12";"0:0:0";"0:0:0"
01/05/12;"1:39:19";"0:57:25";"0:20:58";"0:0:0";"0:0:0"
01/05/12;"0:0:32";"0:6:18";"0:21:15";"0:4:57";"0:0:0"
01/05/12;"1:31:14";"0:11:42";"0:2:33";"0:0:0";"0:0:0"
03/05/12;"0:1:42";"0:8:36";"0:4:42";"0:0:0";"0:0:0"
03/05/12;"0:24:49";"0:16:28";"0:9:7";"0:2:12";"0:0:33"
03/05/12;"0:2:6";"0:16:30";"0:8:59";"0:0:0";"0:0:0"
04/05/12;"0:20:47";"0:10:49";"0:2:17";"0:0:0";"0:0:0"
04/05/12;"0:9:8";"0:13:14";"0:3:27";"0:0:0";"0:0:0"
04/05/12;"0:12:29";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
07/05/12;"0:46:38";"1:38:29";"1:46:4";"0:4:4";"0:0:0"
12/05/12;"0:58:59";"1:35:16";"2:47:24";"0:1:55";"0:0:0"
13/05/12;"2:54:52";"1:52:56";"0:59:41";"0:0:19";"0:0:16"
15/05/12;"0:0:1";"0:15:11";"0:42:30";"0:9:13";"0:1:15"
17/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
19/05/12;"0:2:47";"0:32:54";"0:50:35";"0:11:20";"0:0:0"
20/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
23/05/12;"0:2:28";"0:11:24";"0:16:33";"0:6:31";"0:0:41"
26/05/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
27/05/12;"0:54:52";"1:5:27";"0:17:28";"0:0:0";"0:0:0"
31/05/12;"0:0:45";"0:18:23";"0:13:41";"0:9:15";"0:2:6"
01/06/12;"0:8:56";"0:29:50";"0:33:34";"0:1:34";"0:0:0"
04/06/12;"0:29:58";"0:14:25";"0:5:9";"0:0:0";"0:0:0"
07/06/12;"0:15:30";"0:29:21";"0:21:17";"0:6:28";"0:2:23"
09/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
12/06/12;"0:7:53";"0:7:54";"0:2:57";"0:0:0";"0:0:0"
12/06/12;"0:1:32";"0:22:12";"0:34:41";"0:12:30";"0:0:54"
12/06/12;"0:6:47";"0:9:0";"0:2:56";"0:0:0";"0:0:0"
15/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
21/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
25/06/12;"0:9:35";"0:5:30";"0:1:10";"0:0:0";"0:0:0"
25/06/12;"0:26:51";"0:9:34";"0:5:20";"0:0:19";"0:0:0"
26/06/12;"0:16:3";"0:4:50";"0:0:0";"0:0:0";"0:0:0"
26/06/12;"0:8:59";"0:24:25";"0:28:42";"0:9:3";"0:0:0"
26/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
28/06/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
03/07/12;"0:13:38";"0:12:47";"0:12:9";"0:3:27";"0:0:0"
03/07/12;"0:17:35";"0:22:48";"0:5:56";"0:3:47";"0:2:5"
03/07/12;"0:6:8";"0:10:14";"0:6:28";"0:0:0";"0:0:0"
08/07/12;"0:18:13";"0:50:48";"1:11:18";"0:4:16";"0:0:0"
11/07/12;"0:13:37";"0:38:17";"0:17:18";"0:4:8";"0:0:0"
12/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
13/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
15/07/12;"0:5:17";"0:23:43";"0:24:3";"0:5:55";"0:0:0"
23/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
24/07/12;"0:4:48";"0:19:2";"0:24:10";"0:6:28";"0:0:58"
26/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
27/07/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
29/07/12;"0:3:0";"0:20:35";"0:26:46";"0:6:41";"0:0:44"
30/07/12;"0:9:30";"0:22:43";"0:16:3";"0:1:52";"0:0:0"
01/08/12;"0:3:4";"0:2:33";"0:0:15";"0:0:0";"0:0:0"
04/08/12;"15:3:23";"1:59:35";"2:1:4";"0:12:37";"0:0:0"
05/08/12;"0:5:1";"0:2:41";"0:27:32";"0:0:0";"0:0:0"
07/08/12;"0:9:55";"0:50:21";"0:21:40";"0:0:0";"0:0:0"
07/08/12;"0:4:36";"0:10:9";"0:0:55";"0:0:0";"0:0:0"
08/08/12;"0:18:2";"0:0:46";"0:0:0";"0:0:0";"0:0:0"
08/08/12;"0:2:38";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
08/08/12;"0:3:42";"0:29:55";"0:49:36";"0:0:25";"0:0:0"
09/08/12;"0:2:57";"0:16:10";"0:26:6";"0:11:9";"0:0:55"
11/08/12;"0:3:38";"0:6:55";"0:2:52";"0:0:0";"0:0:0"
12/08/12;"1:56:55";"1:36:54";"2:25:27";"0:4:46";"0:0:0"
14/08/12;"0:15:57";"0:4:50";"0:0:0";"0:0:0";"0:0:0"
14/08/12;"0:9:58";"0:7:13";"0:0:45";"0:0:0";"0:0:0"
15/08/12;"1:13:52";"1:53:4";"1:57:29";"0:12:2";"0:0:0"
20/08/12;"0:7:49";"0:0:59";"0:0:9";"0:0:0";"0:0:0"
20/08/12;"0:32:43";"0:0:51";"0:0:0";"0:0:0";"0:0:0"
21/08/12;"0:16:13";"0:5:45";"0:0:0";"0:0:0";"0:0:0"
21/08/12;"0:8:28";"0:5:31";"0:3:18";"0:0:57";"0:0:2"
22/08/12;"0:19:57";"0:9:1";"0:3:7";"0:0:0";"0:0:0"
22/08/12;"0:21:32";"0:15:57";"0:2:22";"0:0:19";"0:0:5"
22/08/12;"0:3:15";"0:9:52";"0:1:57";"0:0:0";"0:0:0"
23/08/12;"0:11:29";"0:43:42";"0:27:12";"0:0:29";"0:0:0"
24/08/12;"0:20:40";"0:0:44";"0:0:0";"0:0:0";"0:0:0"
24/08/12;"0:3:8";"0:19:49";"0:1:47";"0:0:0";"0:0:0"
24/08/12;"0:0:17";"0:2:17";"0:2:49";"0:3:59";"0:0:0"
24/08/12;"0:0:2";"0:0:25";"0:6:21";"0:4:59";"0:0:0"
24/08/12;"0:30:40";"0:2:23";"0:0:32";"0:0:0";"0:0:0"
25/08/12;"0:19:56";"0:43:30";"0:25:40";"0:2:15";"0:0:0"
29/08/12;"0:4:20";"0:16:35";"0:29:5";"0:6:33";"0:0:0"
30/08/12;"0:10:48";"0:31:18";"0:2:29";"0:0:0";"0:0:0"
31/08/12;"0:6:42";"0:6:11";"0:4:50";"0:0:0";"0:0:0"
31/08/12;"0:6:42";"0:6:15";"0:2:57";"0:0:0";"0:0:0"
01/09/12;"5:29:36";"0:18:23";"0:1:4";"0:0:0";"0:0:0"
02/09/12;"2:35:48";"0:0:38";"0:0:0";"0:0:0";"0:0:0"
02/09/12;"0:53:28";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
03/09/12;"0:8:56";"0:7:35";"0:0:0";"0:0:0";"0:0:0"
03/09/12;"0:11:20";"0:22:12";"0:12:24";"0:2:28";"0:0:0"
03/09/12;"0:9:48";"0:13:48";"0:5:14";"0:0:0";"0:0:0"
04/09/12;"0:18:55";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
04/09/12;"1:8:22";"0:3:0";"0:1:8";"0:0:0";"0:0:0"
04/09/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
06/09/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
08/09/12;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
11/09/12;"0:26:21";"0:17:6";"0:16:56";"0:4:0";"0:0:13"
12/09/12;"0:24:28";"0:26:51";"0:0:58";"0:11:9";"0:0:0"
13/09/12;"0:35:0";"0:48:52";"0:15:0";"0:0:23";"0:0:0"
17/09/12;"0:25:7";"0:13:30";"0:36:33";"0:0:0";"0:0:0"
18/09/12;"0:23:11";"0:29:31";"0:12:38";"0:0:47";"0:0:0"
24/09/12;"0:8:52";"0:7:4";"0:14:15";"0:0:27";"0:0:0"
25/09/12;"0:24:41";"1:0:40";"0:16:50";"0:15:31";"0:0:0"
27/09/12;"0:18:30";"0:19:14";"0:22:19";"0:3:55";"0:0:0"
29/09/12;"0:43:44";"0:15:35";"0:12:38";"0:0:0";"0:0:0"
30/09/12;"1:17:6";"0:18:11";"0:7:25";"0:0:0";"0:0:0"
01/10/12;"0:4:23";"0:30:42";"0:20:52";"0:8:21";"0:0:0"
03/10/12;"0:34:5";"0:30:33";"0:8:11";"0:0:14";"0:0:0"
04/10/12;"0:20:13";"0:16:46";"0:36:53";"0:2:4";"0:0:0"
06/10/12;"0:0:49";"0:19:5";"0:55:26";"0:6:51";"0:0:0"
07/10/12;"0:6:39";"0:12:41";"0:11:14";"0:9:12";"0:0:41"
08/10/12;"0:25:9";"0:22:13";"0:11:42";"0:3:42";"0:0:0"
09/10/12;"0:34:29";"0:15:48";"0:0:58";"0:10:57";"0:0:15"
10/10/12;"0:1:36";"0:2:42";"0:2:46";"0:0:0";"0:0:0"
16/10/12;"0:14:5";"0:32:8";"0:20:5";"0:0:24";"0:0:0"
17/10/12;"0:0:0";"0:0:9";"0:0:12";"0:9:41";"0:0:15"
18/10/12;"0:24:39";"0:0:27";"0:0:8";"0:0:0";"0:0:0"
18/10/12;"0:7:33";"0:19:40";"0:29:28";"0:10:35";"0:0:39"
21/10/12;"0:2:45";"0:23:12";"0:26:52";"0:1:49";"0:0:0"
22/10/12;"0:5:52";"0:33:7";"0:25:1";"0:2:33";"0:0:0"
25/10/12;"0:17:6";"0:15:15";"0:38:24";"0:8:47";"0:0:5"
27/10/12;"0:3:29";"0:15:33";"0:20:15";"0:0:0";"0:0:0"
28/10/12;"0:44:30";"0:10:6";"0:9:30";"0:1:59";"0:0:32"
31/10/12;"0:20:22";"0:18:33";"0:14:47";"0:13:24";"0:0:0"
01/11/12;"1:39:36";"0:50:45";"0:54:16";"0:5:57";"0:0:0"
04/11/12;"0:1:34";"0:17:51";"0:35:0";"0:44:2";"0:1:30"
05/11/12;"0:1:4";"0:13:52";"0:23:14";"0:17:13";"0:0:31"
19/11/12;"0:6:50";"0:8:3";"0:27:28";"0:6:9";"0:0:0"
20/11/12;"0:6:21";"0:17:2";"0:50:35";"0:0:0";"0:0:0"
25/11/12;"1:45:46";"0:10:51";"0:0:24";"0:0:0";"0:0:0"
27/11/12;"0:3:56";"0:7:51";"0:16:24";"0:0:3";"0:0:0"
06/12/12;"0:0:34";"0:4:43";"0:30:31";"0:14:4";"0:0:0"
12/12/12;"0:2:4";"0:12:5";"0:25:10";"0:3:3";"0:0:0"
18/12/12;"0:31:10";"0:20:38";"0:16:14";"0:0:0";"0:0:0"
23/12/12;"0:4:35";"0:11:43";"0:14:3";"0:3:50";"0:0:0"
24/12/12;"0:5:7";"0:16:24";"0:40:48";"1:15:6";"0:0:46"
25/12/12;"0:3:51";"0:19:42";"0:26:6";"0:0:10";"0:0:0"
26/12/12;"0:8:48";"0:42:3";"0:12:59";"0:4:54";"0:1:0"
29/12/12;"1:46:57";"1:40:6";"1:0:47";"0:36:39";"0:0:0"
30/12/12;"1:51:57";"1:46:40";"1:13:22";"0:2:17";"0:0:0"
31/12/12;"1:55:36";"0:46:27";"0:30:8";"0:1:36";"0:0:0"
02/01/13;"0:2:41";"0:13:51";"0:18:10";"0:9:53";"0:0:59"
14/01/13;"0:1:10";"0:12:10";"0:15:24";"0:10:51";"0:3:12"
15/01/13;"0:23:5";"0:38:53";"0:4:37";"0:0:0";"0:0:0"
21/01/13;"0:13:46";"0:21:41";"0:29:33";"0:7:40";"0:1:53"
28/01/13;"0:2:47";"0:17:13";"0:24:13";"0:7:48";"0:1:28"
31/01/13;"0:12:33";"0:11:9";"0:20:20";"0:6:52";"0:0:0"
07/02/13;"0:3:35";"0:15:1";"0:43:7";"0:8:24";"0:0:4"
12/02/13;"0:9:17";"0:38:22";"0:42:19";"0:7:16";"0:0:0"
20/02/13;"0:0:14";"0:16:45";"0:32:55";"0:20:11";"0:0:0"
26/02/13;"0:3:3";"0:14:53";"0:31:39";"0:9:15";"0:0:0"
06/03/13;"0:28:11";"0:28:46";"0:17:45";"0:0:26";"0:0:0"
09/03/13;"0:1:47";"0:19:42";"0:28:33";"0:12:23";"0:0:0"
20/03/13;"0:30:0";"0:30:33";"0:11:14";"0:1:14";"0:0:0"
21/03/13;"0:8:3";"0:16:20";"0:28:9";"0:13:36";"0:3:34"
24/03/13;"0:1:31";"0:19:2";"0:21:6";"0:11:49";"0:0:0"
25/03/13;"0:8:28";"0:15:57";"0:36:31";"0:3:11";"0:0:17"
28/03/13;"0:11:23";"0:15:26";"0:22:13";"0:6:17";"0:0:0"
08/04/13;"0:3:51";"0:9:56";"0:13:42";"0:14:35";"0:1:16"
10/04/13;"0:0:37";"0:9:44";"0:20:22";"0:11:12";"0:1:30"
14/04/13;"0:57:22";"0:12:39";"0:28:32";"0:0:0";"0:0:0"
14/04/13;"0:51:12";"0:5:39";"0:1:48";"0:0:0";"0:0:0"
15/04/13;"0:21:31";"0:21:37";"0:11:12";"0:2:43";"0:0:0"
17/04/13;"0:26:38";"0:25:4";"0:22:35";"0:8:7";"0:0:0"
23/04/13;"0:10:17";"0:19:25";"0:27:48";"0:0:39";"0:0:0"
26/04/13;"0:3:52";"0:18:2";"0:32:32";"0:3:29";"0:0:0"
28/04/13;"1:35:20";"0:21:16";"0:39:11";"0:0:0";"0:0:0"
29/04/13;"0:0:0";"0:0:0";"0:2:3";"0:0:3";"0:0:0"
29/04/13;"0:24:53";"0:16:4";"0:7:58";"0:4:6";"0:0:7"
01/05/13;"0:43:2";"0:31:3";"1:4:33";"0:32:22";"0:0:0"
01/05/13;"0:25:14";"0:29:12";"0:21:31";"0:0:10";"0:0:0"
04/05/13;"0:33:1";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
04/05/13;"0:8:44";"0:19:5";"0:9:52";"0:0:12";"0:0:0"
06/05/13;"0:14:13";"0:17:12";"0:28:9";"0:4:54";"0:0:0"
07/05/13;"0:5:17";"0:27:24";"0:25:26";"0:4:57";"0:0:0"
09/05/13;"0:0:41";"0:14:52";"0:19:35";"0:10:24";"0:0:0"
14/05/13;"0:3:23";"0:6:3";"0:6:32";"0:0:0";"0:0:0"
15/05/13;"0:2:36";"0:5:6";"0:12:39";"0:0:0";"0:0:0"
15/05/13;"0:2:8";"0:1:7";"0:5:38";"0:3:37";"0:0:45"
15/05/13;"0:3:15";"0:17:43";"0:5:23";"0:4:16";"0:0:6"
18/05/13;"0:2:25";"0:10:48";"0:47:7";"0:19:53";"0:0:0"
21/05/13;"0:2:0";"0:7:1";"0:25:14";"0:1:0";"0:0:0"
21/05/13;"0:0:0";"0:6:21";"0:21:42";"0:13:40";"0:1:35"
22/05/13;"0:6:45";"0:25:30";"0:33:13";"0:0:0";"0:0:0"
25/05/13;"0:23:29";"1:23:42";"2:1:35";"0:32:45";"0:0:0"
26/05/13;"6:0:15";"2:19:14";"1:1:13";"0:0:0";"0:0:0"
27/05/13;"0:37:22";"1:1:0";"2:22:18";"0:5:48";"0:0:0"
29/05/13;"0:10:17";"0:20:23";"0:16:45";"0:14:21";"0:0:15"
02/06/13;"0:7:15";"0:21:0";"0:49:9";"0:13:2";"0:0:1"
03/06/13;"0:1:56";"0:21:23";"0:17:44";"0:4:44";"0:0:0"
04/06/13;"0:34:51";"0:26:52";"0:5:43";"0:0:0";"0:0:0"
05/06/13;"0:10:20";"0:31:29";"1:46:48";"0:21:25";"0:0:0"
06/06/13;"0:5:49";"0:27:48";"0:31:19";"0:3:3";"0:0:0"
11/06/13;"0:36:7";"1:2:1";"0:55:11";"0:23:31";"0:2:17"
12/06/13;"0:27:14";"0:19:57";"0:7:52";"0:2:47";"0:0:0"
13/06/13;"0:12:43";"0:26:52";"0:20:11";"0:2:58";"0:3:14"
16/06/13;"0:1:9";"0:8:21";"0:56:2";"0:5:57";"0:0:0"
17/06/13;"0:3:11";"0:9:1";"0:11:54";"0:3:52";"0:0:0"
18/06/13;"0:1:46";"0:18:3";"0:21:1";"0:9:39";"0:3:14"
19/06/13;"0:37:4";"2:40:17";"2:56:43";"0:2:44";"0:0:0"
22/06/13;"5:13:38";"1:19:1";"0:46:36";"0:0:0";"0:0:0"
23/06/13;"0:13:42";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
25/06/13;"0:36:35";"0:32:36";"0:26:48";"0:8:25";"0:0:0"
26/06/13;"0:4:50";"0:26:39";"0:11:9";"0:6:11";"0:0:12"
30/06/13;"0:5:36";"0:49:42";"1:24:36";"0:20:23";"0:0:0"
01/07/13;"0:38:5";"0:29:50";"0:5:7";"0:0:12";"0:0:0"
02/07/13;"0:1:5";"0:34:15";"0:43:19";"0:8:56";"0:0:0"
05/07/13;"0:24:40";"1:25:50";"1:41:54";"0:13:58";"0:0:0"
10/07/13;"0:5:2";"0:21:50";"0:36:28";"0:1:24";"0:0:0"
11/07/13;"0:27:20";"0:19:18";"0:1:56";"0:0:0";"0:0:0"
12/07/13;"0:8:19";"0:17:32";"0:14:12";"0:0:0";"0:0:0"
12/07/13;"0:1:48";"0:17:57";"0:19:23";"0:0:57";"0:0:0"
14/07/13;"0:22:13";"0:15:37";"0:28:9";"0:0:0";"0:0:0"
14/07/13;"0:3:23";"0:30:48";"0:44:8";"0:0:1";"0:0:0"
15/07/13;"0:4:29";"0:18:18";"0:10:46";"0:0:0";"0:0:0"
16/07/13;"0:4:18";"0:19:52";"0:13:35";"0:0:59";"0:0:41"
21/07/13;"0:0:38";"0:12:50";"0:49:31";"0:5:23";"0:0:0"
23/07/13;"0:3:36";"0:5:50";"0:51:35";"0:17:25";"0:0:13"
23/07/13;"0:2:0";"0:24:0";"0:20:3";"0:17:55";"0:0:0"
24/07/13;"0:3:37";"0:12:16";"0:26:2";"0:0:0";"0:0:0"
25/07/13;"6:15:12";"0:7:48";"0:9:32";"0:0:46";"0:0:0"
26/07/13;"0:25:28";"1:4:52";"1:18:43";"0:9:22";"0:0:0"
28/07/13;"0:3:21";"0:27:22";"0:41:29";"0:15:46";"0:0:0"
30/07/13;"0:0:56";"0:29:6";"0:38:31";"0:0:43";"0:0:0"
31/07/13;"0:25:47";"0:39:2";"0:11:52";"0:0:0";"0:0:0"
01/08/13;"0:5:51";"0:40:52";"0:25:25";"0:0:46";"0:0:0"
02/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
03/08/13;"3:15:27";"3:4:23";"3:18:12";"0:0:0";"0:0:0"
04/08/13;"1:49:17";"4:17:11";"0:53:11";"0:1:57";"0:0:15"
08/08/13;"0:6:35";"0:30:43";"0:32:3";"0:9:39";"0:0:0"
10/08/13;"1:28:1";"2:51:2";"2:47:12";"0:9:23";"0:0:0"
12/08/13;"0:30:28";"0:29:55";"0:19:18";"0:8:26";"0:0:0"
15/08/13;"0:28:57";"0:27:3";"0:39:10";"0:4:44";"0:0:0"
15/08/13;"1:10:54";"0:21:7";"0:5:26";"0:0:0";"0:0:0"
19/08/13;"0:20:53";"0:26:5";"0:20:4";"0:10:19";"0:0:0"
21/08/13;"0:33:51";"0:22:23";"0:14:19";"0:4:3";"0:0:0"
23/08/13;"0:8:48";"0:35:2";"0:43:6";"0:3:13";"0:0:0"
25/08/13;"0:36:38";"0:11:41";"0:1:0";"0:0:0";"0:0:0"
27/08/13;"0:6:44";"0:17:51";"0:13:17";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
30/08/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
06/09/13;"0:21:43";"0:27:4";"0:9:4";"0:0:0";"0:0:0"
07/09/13;"0:6:2";"0:12:31";"0:15:43";"0:0:30";"0:0:0"
09/09/13;"0:4:39";"0:22:17";"0:13:58";"0:1:40";"0:0:0"
11/09/13;"0:11:7";"0:26:56";"0:20:50";"0:5:11";"0:0:0"
16/09/13;"0:12:18";"0:26:37";"0:15:46";"0:0:21";"0:0:31"
17/09/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
23/09/13;"0:54:51";"1:47:18";"2:9:46";"1:7:54";"0:0:0"
23/09/13;"2:59:40";"2:59:34";"1:5:0";"0:0:0";"0:0:0"
26/09/13;"4:52:12";"0:9:50";"0:0:0";"0:0:0";"0:0:0"
01/10/13;"0:4:11";"0:23:0";"0:12:59";"0:4:38";"0:0:0"
02/10/13;"0:9:59";"0:27:8";"0:15:27";"0:2:30";"0:2:43"
03/10/13;"0:8:53";"0:23:32";"0:19:40";"0:2:13";"0:0:14"
06/10/13;"0:2:56";"0:32:39";"2:7:24";"0:20:9";"0:0:0"
11/10/13;"0:10:29";"0:17:50";"0:15:56";"0:5:5";"0:0:49"
13/10/13;"0:31:40";"0:21:30";"0:17:16";"0:5:49";"0:0:0"
14/10/13;"0:12:30";"0:38:45";"0:22:29";"0:1:27";"0:0:0"
17/10/13;"0:37:44";"1:4:1";"0:15:8";"0:0:0";"0:0:0"
19/10/13;"0:1:3";"0:4:36";"0:39:45";"0:17:43";"0:2:51"
21/10/13;"0:9:1";"0:29:38";"0:20:4";"0:5:13";"0:0:53"
22/10/13;"0:10:36";"0:19:34";"0:23:26";"0:5:27";"0:0:0"
26/10/13;"2:47:29";"1:6:55";"0:33:13";"0:9:34";"0:0:0"
27/10/13;"0:49:20";"0:17:2";"0:17:14";"0:6:4";"0:0:0"
28/10/13;"0:8:37";"0:13:48";"0:9:55";"0:5:27";"0:0:11"
30/10/13;"0:44:55";"0:14:47";"0:7:3";"0:0:49";"0:0:0"
01/11/13;"0:6:5";"0:12:45";"0:19:46";"0:7:10";"0:0:0"
03/11/13;"0:50:52";"0:58:30";"1:19:50";"0:13:49";"0:0:0"
07/11/13;"0:12:14";"0:28:16";"0:30:15";"0:0:42";"0:0:0"
09/11/13;"2:7:27";"0:27:22";"0:21:26";"0:1:39";"0:0:0"
10/11/13;"0:41:55";"0:31:12";"0:24:33";"0:1:55";"0:0:0"
10/11/13;"0:0:50";"0:4:7";"0:14:55";"0:0:0";"0:0:0"
11/11/13;"1:56:59";"0:31:39";"0:23:53";"0:7:4";"0:0:0"
12/11/13;"0:2:48";"0:9:30";"0:14:10";"0:4:14";"0:0:0"
16/11/13;"0:18:17";"0:19:31";"0:42:36";"0:56:43";"0:0:4"
17/11/13;"0:24:35";"0:24:50";"1:21:38";"0:10:34";"0:0:0"
18/11/13;"0:20:32";"0:24:34";"0:17:55";"0:0:50";"0:0:6"
19/11/13;"0:1:4";"0:16:40";"0:12:46";"0:29:41";"0:0:0"
19/11/13;"0:0:0";"0:0:0";"0:0:0";"0:0:0";"0:0:0"
22/11/13;"0:13:3";"0:29:53";"0:13:6";"0:1:36";"0:0:0"
23/11/13;"1:24:5";"0:45:22";"0:38:47";"0:3:57";"0:0:0"
24/11/13;"0:57:39";"0:33:8";"0:12:12";"0:2:53";"0:0:0"
27/11/13;"0:7:25";"0:15:56";"0:12:22";"0:30:13";"0:0:0"
30/11/13;"0:22:11";"0:24:3";"0:56:37";"0:58:11";"0:0:0"
01/12/13;"0:28:36";"0:29:52";"1:8:14";"0:32:44";"0:1:3"
04/12/13;"0:0:0";"0:8:13";"0:19:15";"0:37:4";"0:1:39"
07/12/13;"2:21:5";"1:15:30";"1:15:2";"0:11:11";"0:0:0"
08/12/13;"2:0:27";"1:34:26";"1:10:11";"0:3:46";"0:0:0"
11/12/13;"0:4:0";"0:7:29";"0:25:23";"0:23:2";"0:0:0"
